"experiment","subject","condition","verbalStrategy1","verbalStrategy2","singleFeature","multipleFeature","holisticStrategy","singleDimType","combinedDimType"
"3B","p488843","high","I check for the shape with the rectangle  and put it in category A. Everything else goes to B.","The shape with the rectangle piece.",1,0,0,NA,NA
"3B","p502257","low","I noticed that one shape looked like a dolphin and the ones that had this shape went on the left.  One circle had shapes that looked like two squid and those went on the right.  ","the dolphin looking one mainly",1,0,0,NA,NA
"3B","p508988","high","The general rule I made was if there was a Tree looking figure it went into category A. If there was a Swan looking figure it went into category B.","Tree and Swan",1,0,0,NA,NA
"3B","p51502","low","I looked for one key shape each. I gave them a physical attribute, but realized I only needed to see if there was a hand-looking shape or not.","The one that resembles a hand.",1,0,0,NA,NA
"3B","p541606","low","I have no idea, but I finally started putting the ones that have two long narrow slits in the patterns on the left side, and all others on the right, and only one was wrong, so I went with that.","The long slits in the shapes.",1,0,0,NA,NA
"3B","p559611","low","the one image reminded me of a shark and I knew it went into A","shark went into a",1,0,0,NA,NA
"3B","p563940","low","there was a certain type of shape that belongs in a no matter what part of the circle it's in, (i think)","i can't describe it it has s diamond like body",1,0,0,NA,NA
"3B","p57254","high","For the 'A' side I looked for the weird, snake-like origami figure and for the 'B' side I looked for the tall, tower or fish like shapes. That was my only set of rules.","As noted above, the tower, fish, and snake-like origami figures",1,0,0,NA,NA
"3B","p584397","low","Of the two shapes presented in in image, one of them was easier to memorize that the other, so after some trial and error, I memorized the easier part of the image. ","I used the one with the flat top to go in category A, and the one with a pointy top to go in category B.",1,0,0,NA,NA
"3B","p589583","high","There was an image that looked like a tower that would sometimes show up. This image seemed to always belong in the left category. There was also an image that looked like a swan (or a thick lightning bolt). This image seemed to always belong in the right category. The rest of the images did not seem to matter. ","One looked like a tower and the other looked like a swan (or a thick lightning bolt)",1,0,0,NA,NA
"3B","p589779","low","I guessed at first, then realized that Category A and B always had a unique, exclusive shape that only fit with their category.","One that reminded me of a rabbit went to A, and another that looked like a wig went to B.",1,0,0,NA,NA
"3B","p601847","low","I tried to memorize the shapes.","I looked at the white interior of the black shape.",0,0,0,NA,NA
"3B","p608113","high","I quickly figured out that the frog like shape went to A and the skyscraper looking shape went to B","Frog & skyscraper",1,0,0,NA,NA
"3B","p615475","high","I noticed a specific shape to figure out which ones belonged in category A or B.","There was a weird shape that kind of looked like a bird, which went to A. There was a longer shape which I new went to B.",1,0,0,NA,NA
"3B","p623701","low","I looked at the orientation of the design within the shape. ","If they were more jagged or not. ",0,0,1,NA,NA
"3B","p627597","high","I tried to figure out what was common among the images that would go into a particular group. I quickly discovered that there was one particular shape which would always go into category A, and another shape which would always go into category B. Once I figured out which shape went into which category, it was pretty easy from that point forward.","There were two shapes which I paid attention to. The shape which was vertical, skinny, and long always would go into category B. There was another shape which looked like the letter \W\ (in my mind anyways), which would always go into category A.",1,0,0,NA,NA
"3B","p632974","high","I decided the bulky image should go to the right. The less bulky goes to the left.","Bulky and not bulky.",1,0,0,NA,NA
"3B","p643531","high","Images with the standing sticks went into b and the ones with the swan looking thing went into a. ","The swan looking thing and the sticks looking thing. ",1,0,0,NA,NA
"3B","p657337","high","Tall skinny picture was A, everything else was B","The tall skinny one was A",1,0,0,NA,NA
"3B","p662238","low","none","no",0,0,0,NA,NA
"3B","p696779","high","I noticed when the shape which looked like a bong appeared the image belonged on the right about 100% of the time. At first I thought they should be sorted by which side of the circle the shapes were on. ","The bong shape.",1,0,0,NA,NA
"3B","p729911","high","I sorted the images based on the patterns I saw in the shapes. I noticed one set of shapes was longer and pointier, so that belonged to one group, while the other set of shapes was rounder and softer, so that belonged to the other group.","The long and pointy shapes and the really round shapes.",0,0,1,NA,NA
"3B","p741746","high","I was able to use the feedback to identify which specific shape was causing an error. So if I saw that shape was present at all, that meant it went into the B category, and if it was absent, then the image goes into the A category.","the long upright shape",1,0,0,NA,NA
"3B","p755162","high","I focused first on the location of objects, but it quickly became apparent that the presence of 2 of the shapes was the sole determining factor, and stuck with that.","The one that looked vaguely like a bird, and the one that looked like pyramid head from the Silent Hill games.",1,0,0,NA,NA
"3B","p765659","low","It seemed like when one of the shapes had a separation in it, then that was when I moved it to the right.","the shape with two extension, if that makes sense",1,0,0,NA,NA
"3B","p768114","high","There was one longer shape that I noticed always fit in the left and a shorter shape I noticed always fit in the right. At first I thought it was about the arangment of the pie chart, but then I realized it was the shames themselves.","The longer thinner looking shape and the shorter rounder one.",1,0,0,NA,NA
"3B","p788253","low","I just picked a certain shape and put them on one side and everything else on the other side.","The one that kind of looked like a hook.",1,0,0,NA,NA
"3B","p789926","low","There was one shape that made it category A. It was the one that was kind of a long, hunched over shape(it had a square type space). If it had one of those, it was in A. ","I used that specific shape with the square cutout described above. ",1,0,0,NA,NA
"3B","p793202","low","I paid attention to the shapes and previous feedback","the darker shapes",0,0,0,NA,NA
"3B","p813495","high","All the circles only had two sections of the three with shapes, so I couldn't use that. I paid attention to which shapes fit in which categories. One shaped looked like a wizard or chess piece, and that one always went in category A. If that shape was absent, it always went in category B.","wizard/chess piece",1,0,0,NA,NA
"3B","p815232","high","i figured the longer skinnier shape always is at A and fatter ones at B","skinny long vs fat",1,0,0,NA,NA
"3B","p817399","low","I tried to identify the shapes...or give a couple of them a name to help with remembering which one went where. I got a little confused b/c I though there were only 2 pairs of shapes but I think there were more like 4 but only 2 shapes determined which circle went to which category.","One that looked like a rabbit and one that looked like a claw.",1,0,0,NA,NA
"3B","p82888","low","i got the first two right then it was pretty obvious by the shape","that one shape in category B was always present for anything category b not for category A",1,0,0,NA,NA
"3B","p847891","high","The shape with the funny stick like thing on its right I put on the B category. The big clumpy shape I put in the A category. When those two shapes I described were presented together I put priority on the stick like shape and placed it in the B. I followed that strategy throughout after the first few incorrect responses. It was the pattern I developed and stuck with when the responses were positively correct in its feedback to me and used it for the 2nd portion of the test.","I used the shape with the high stick or pole for B and the big clumpy shape of black for A. When paired I placed it in B.",1,0,0,NA,NA
"3B","p864823","high","I used one shape in particular to decide where to put it. It looked like a fish to me.","The one that looked like a fish.",1,0,0,NA,NA
"3B","p866079","low","I am sorry i did not come up with any plan. I could not get a pattern. It was random","Non it was random",0,0,0,NA,NA
"3B","p869566","high","The picture with the skinny tail went to the right and the other went to the left.","the one with the skinny tail.",1,0,0,NA,NA
"3B","p875810","high","By the shapes.","The polar bear mostly.",1,0,0,NA,NA
"3B","p911100","low","I remembered 2 specific shapes, the one on the right had a thin long lone the other didnt","The one on the right had a thin long line, the one on the left didnt.",1,0,0,NA,NA
"3B","p913075","high","The tall glass statue or liberty looking thing goes to A, it overrides other shapes. The cut out piece of paper thing goes to B, it overrides the other shapes.","the glass / drink thing and the cut out paper shape",1,0,0,NA,NA
"3B","p919755","high","I managed to figure out the patterns and where they belonged.","The black shapes inside the triangles",0,0,0,NA,NA
"3B","p927822","low","The shape with more dark area seemed to go to cat B than A","one that reminded me of a cat",1,0,0,NA,NA
"3B","p944129","high","If it had the little stick thing that looked like a monument and then the thing next to it sticking up, I put it in A, and if it had the big splotchy thing that just looked like a blob of spilt milk, then I put it in B. That seemed to work well for me, since it didn't really seem like the location of the shapes made all that much difference.","the monument with the little stick thing\n-the blobby thing",1,0,0,NA,NA
"3B","p950608","high","I mostly did pay attention to the shapes though - any with the candle-shaped silhouette seemed to belong in category B, while others belonged in A.  I mainly tried to look for that candle-shape.  ","See above - mostly the candle-shaped one of B, as it was easy to pick out. ",1,0,0,NA,NA
"3B","p958295","low","I used the rule of only paying attention to the left most part of the circle that mostly. If it did not have the elongated shape then it went to the left. If it did have the elongated straightish shape then it went to the right. ","Elongated straight shape almost always went to the right. ",1,0,0,NA,NA
"3B","p963933","low","I paid attention to the shapes","the ones on the top",0,0,0,NA,NA
"3B","p968237","low","One of the images always appeared in the right category, so I chose the category based on that.","The one with the triangular shape that looks like a wizard with his hat flopped over.",1,0,0,NA,NA
"s4_shape+color","p105472","high","I used feedback, the problem was my memory - which I trusted too much and it failed me. I should have wrote down my notes. I don't know if this was the case but I just went off the color and shape of the left lower object.","The brown W zig zag one was right, and if was red it was left. Then the other shape was the opposite of those. It seemed to work when I could remember, but it got confusing and my memory sort of sucks. ",1,0,0,0,1
"s4_shape+color","p108274","high","I tried to look at which colors went together when. For instance, red and orange went together pretty often in group B so I would do that.","Red Brown Orange",0,1,0,1,0
"s4_shape+color","p127616","low","I tried to pay attention to the colors more than the shapes, I figured that I did not have any pink ones in category A so they must go to B and so on. ","Pink and Yellow",1,0,0,1,0
"s4_shape+color","p131774","low","I simply tried to remember which went where. I didn't use a particular rules. I was never able to discover one.","I tried to remember red, pink, green and gold. I tried to remember shapes by remembers what they looked like if applicable. Some looked like a person, others like a boat for instance.",0,0,0,0,0
"s4_shape+color","p133641","low","I didn't have  a rule, I just went with instinct.","I'm not sure, I just went with what felt right",0,0,0,0,0
"s4_shape+color","p189982","high","I labeled the bottom shapes and colors a certain way, and paid attention to the feed back. Dragon-red and Dragon brown were always opposites.","The red and brown.",1,0,0,0,1
"s4_shape+color","p191171","high","I noticed that the bottom right part seemed to change more and more significantly than the top part so I focused on that.  Eventually it seemed like that part was what really mattered for sorting.","The skinny candle-like shape and the rectangular shape, and whether it was red or brown.",1,0,0,0,1
"s4_shape+color","p22378","high","I had no specific strategy other than just putting them in whatever box I chose at the moment. ","none specifically, just dropped them in a box that I felt I wanted to put them in",0,0,0,0,0
